hrs,absences,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
6.3567849174475,10,2,3,3.0,1.0,3.0,32,Non-Travel,Research & Development,11,2,Other,1,2063,Female,2,Research Scientist,Divorced,44870,1.0,Y,11,8,0,1.0,5,1,0,0,No
5.675418340026667,16,2,3,4.0,3.0,3.0,25,Travel_Frequently,Sales,5,1,Marketing,1,3857,Male,4,Manufacturing Director,Divorced,139730,1.0,Y,14,8,0,7.0,3,7,0,7,No
8.936331994645,7,2,3,3.0,4.0,3.0,46,Travel_Rarely,Research & Development,2,3,Life Sciences,1,3116,Male,1,Healthcare Representative,Married,88370,2.0,Y,18,8,0,15.0,3,3,1,2,No
7.3489491298525,15,2,3,2.0,3.0,3.0,34,Non-Travel,Research & Development,7,2,Technical Degree,1,1259,Female,1,Research Scientist,Single,86200,0.0,Y,13,8,1,10.0,2,9,8,7,No
7.044107541276111,21,3,3,2.0,4.0,2.0,30,Travel_Rarely,Sales,12,4,Life Sciences,1,1081,Female,2,Sales Executive,Single,49500,1.0,Y,12,8,2,1.0,3,1,0,0,Yes
5.9981135653725,9,2,3,3.0,4.0,4.0,60,Travel_Rarely,Sales,17,4,Medical,1,3892,Male,1,Manager,Divorced,40250,3.0,Y,13,8,1,19.0,5,1,0,0,No
9.61779451137861,17,3,3,1.0,4.0,4.0,39,Travel_Rarely,Research & Development,17,4,Technical Degree,1,2199,Female,2,Healthcare Representative,Married,104750,3.0,Y,11,8,1,8.0,3,5,1,4,No
7.3498136992413885,7,3,4,3.0,3.0,1.0,37,Non-Travel,Sales,8,4,Medical,1,2235,Male,1,Healthcare Representative,Single,75870,0.0,Y,22,8,1,7.0,5,6,1,3,No
7.048124721106389,18,2,3,2.0,4.0,3.0,34,Travel_Rarely,Research & Development,28,3,Technical Degree,1,4166,Male,1,Laboratory Technician,Divorced,107930,0.0,Y,11,8,3,3.0,1,2,1,2,No
5.750619143239445,10,3,3,1.0,4.0,3.0,24,Travel_Frequently,Sales,3,4,Marketing,1,2458,Male,1,Sales Executive,Married,45080,0.0,Y,11,8,1,3.0,5,2,2,1,No
7.407235609103055,4,3,3,4.0,2.0,2.0,27,Travel_Rarely,Sales,15,3,Marketing,1,2874,Male,1,Research Scientist,Single,39860,1.0,Y,12,8,2,7.0,3,7,0,3,No
6.629573850959167,5,4,3,2.0,2.0,3.0,40,Travel_Frequently,Sales,9,3,Medical,1,2079,Male,1,Manufacturing Director,Married,45230,5.0,Y,16,8,1,5.0,5,0,0,0,No
7.442206604194444,8,3,3,3.0,,3.0,30,Travel_Rarely,Research & Development,7,2,Life Sciences,1,587,Female,1,Manufacturing Director,Married,34480,1.0,Y,11,8,0,10.0,3,10,1,4,No
8.946868585452778,10,2,3,3.0,2.0,1.0,35,Travel_Rarely,Sales,24,3,Medical,1,3408,Male,3,Healthcare Representative,Divorced,20700,1.0,Y,13,8,3,5.0,1,4,0,2,Yes
7.175620258812778,14,2,4,2.0,1.0,3.0,35,Travel_Rarely,Research & Development,2,3,Medical,1,893,Female,2,Sales Executive,Married,21570,1.0,Y,25,8,0,16.0,1,16,1,10,No
10.312356091030555,2,3,3,3.0,2.0,2.0,32,Travel_Rarely,Research & Development,1,4,Medical,1,2204,Male,5,Research Director,Married,191890,0.0,Y,12,8,1,4.0,3,3,1,2,No
8.262833556447777,5,3,3,3.0,4.0,3.0,40,Travel_Rarely,Sales,5,5,Life Sciences,1,839,Male,1,Manufacturing Director,Single,52310,1.0,Y,12,8,2,21.0,4,21,7,7,No
6.939856091030555,5,3,3,4.0,1.0,3.0,38,Travel_Rarely,Sales,6,3,Other,1,424,Male,2,Sales Executive,Married,87890,1.0,Y,11,8,3,15.0,4,15,5,11,No
9.859254796965555,15,2,3,1.0,3.0,3.0,30,Travel_Rarely,Sales,2,3,Life Sciences,1,3403,Male,2,Healthcare Representative,Married,40000,4.0,Y,12,8,0,7.0,5,5,0,1,Yes
9.657897144131944,18,4,3,2.0,4.0,2.0,41,Travel_Rarely,Research & Development,23,3,Life Sciences,1,410,Female,2,Sales Executive,Divorced,26570,4.0,Y,11,8,0,10.0,3,7,1,0,Yes
5.696120035698334,20,3,3,3.0,2.0,3.0,36,Travel_Rarely,Sales,5,3,Technical Degree,1,1504,Male,3,Sales Executive,Single,54050,4.0,Y,14,8,0,10.0,2,8,7,7,No
9.128227353859723,17,2,3,4.0,2.0,3.0,40,Travel_Rarely,Sales,8,1,Other,1,2159,Male,1,Laboratory Technician,Single,59850,2.0,Y,13,8,3,9.0,1,5,1,0,Yes
5.897196564033889,8,2,3,4.0,4.0,3.0,29,Travel_Rarely,Research & Development,2,4,Medical,1,4407,Male,1,Laboratory Technician,Divorced,26790,2.0,Y,15,8,0,10.0,2,3,0,2,No
6.0047791164658335,19,2,3,,3.0,3.0,39,Travel_Rarely,Sales,1,1,Marketing,1,3388,Male,2,Research Scientist,Single,23400,0.0,Y,11,8,1,9.0,2,8,0,7,No
9.846115573404722,9,3,3,4.0,4.0,2.0,27,Travel_Frequently,Sales,8,4,Life Sciences,1,4000,Male,5,Research Scientist,Single,21070,0.0,Y,13,8,0,6.0,2,5,0,2,No
6.357352744310556,9,3,3,3.0,2.0,3.0,42,Travel_Rarely,Research & Development,1,3,Life Sciences,1,831,Female,1,Manufacturing Director,Married,106850,4.0,Y,11,8,3,4.0,2,1,0,0,No
5.738057786702222,18,4,3,3.0,1.0,3.0,29,Travel_Rarely,Research & Development,1,3,Medical,1,3773,Female,1,Manager,Married,23140,3.0,Y,13,8,0,9.0,5,7,0,7,No
7.313083444890555,9,4,4,3.0,4.0,3.0,30,Travel_Rarely,Sales,8,2,Technical Degree,1,4241,Male,1,Sales Representative,Married,63920,1.0,Y,21,8,1,11.0,2,11,10,8,No
6.989659750111389,10,3,4,1.0,4.0,3.0,42,Travel_Frequently,Research & Development,8,4,Medical,1,3733,Female,1,Sales Executive,Single,60620,1.0,Y,22,8,2,12.0,2,12,5,8,No
7.459139892904722,11,2,3,3.0,3.0,2.0,29,Travel_Rarely,Research & Development,2,3,Life Sciences,1,2900,Male,1,Sales Executive,Single,49780,0.0,Y,13,8,0,7.0,3,6,1,5,Yes
6.888547523426944,21,3,4,4.0,3.0,3.0,26,Travel_Rarely,Research & Development,11,4,Medical,1,2677,Male,2,Manager,Single,92780,0.0,Y,20,8,0,5.0,3,4,0,0,No
